StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please rank the candidates - Alice Chen,Please rank the candidates - Bob Martinez,Please rank the candidates - Carol Johnson,Please rank the candidates - David Kim,Please rank the candidates - Do Not Hire
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}"
2024-01-15 10:00,2024-01-15 10:05,IP Address,192.168.1.1,100,300,TRUE,2024-01-15 10:05,R_001,,,,,40.7128,-74.0060,anonymous,EN,1,2,3,4,5
2024-01-15 10:10,2024-01-15 10:15,IP Address,192.168.1.2,100,300,TRUE,2024-01-15 10:15,R_002,,,,,40.7128,-74.0060,anonymous,EN,2,1,3,4,5
2024-01-15 10:20,2024-01-15 10:25,IP Address,192.168.1.3,100,300,TRUE,2024-01-15 10:25,R_003,,,,,40.7128,-74.0060,anonymous,EN,1,3,2,4,5
2024-01-15 10:30,2024-01-15 10:35,IP Address,192.168.1.4,100,300,TRUE,2024-01-15 10:35,R_004,,,,,40.7128,-74.0060,anonymous,EN,2,1,4,3,5
2024-01-15 10:40,2024-01-15 10:45,IP Address,192.168.1.5,100,300,TRUE,2024-01-15 10:45,R_005,,,,,40.7128,-74.0060,anonymous,EN,1,2,4,3,5
2024-01-15 10:50,2024-01-15 10:55,IP Address,192.168.1.6,100,300,TRUE,2024-01-15 10:55,R_006,,,,,40.7128,-74.0060,anonymous,EN,3,1,2,4,5
2024-01-15 11:00,2024-01-15 11:05,IP Address,192.168.1.7,100,300,TRUE,2024-01-15 11:05,R_007,,,,,40.7128,-74.0060,anonymous,EN,2,3,1,4,5
2024-01-15 11:10,2024-01-15 11:15,IP Address,192.168.1.8,100,300,TRUE,2024-01-15 11:15,R_008,,,,,40.7128,-74.0060,anonymous,EN,1,2,3,4,5
2024-01-15 11:20,2024-01-15 11:25,IP Address,192.168.1.9,100,300,TRUE,2024-01-15 11:25,R_009,,,,,40.7128,-74.0060,anonymous,EN,1,3,2,4,5
2024-01-15 11:30,2024-01-15 11:35,IP Address,192.168.1.10,100,300,TRUE,2024-01-15 11:35,R_010,,,,,40.7128,-74.0060,anonymous,EN,2,1,3,4,5
2024-01-15 11:40,2024-01-15 11:45,IP Address,192.168.1.11,100,300,TRUE,2024-01-15 11:45,R_011,,,,,40.7128,-74.0060,anonymous,EN,3,2,1,4,5
2024-01-15 11:50,2024-01-15 11:55,IP Address,192.168.1.12,100,300,TRUE,2024-01-15 11:55,R_012,,,,,40.7128,-74.0060,anonymous,EN,1,2,3,4,5
